record_id,author_product,reviewer_product,trigger_channel,trigger_body,trigger_text_sha256,trigger_truncated,has_diff_context,path_suffix,response_channel,response_owner_rule,response_body,response_text_sha256,response_truncated,hours_after_trigger,trigger_substance,response_relation,resolution_signal,owner_mapping_valid,confidence,evidence_note
FR-00620C0A198B,OpenAI_Codex,Copilot,inline_review_comment,"The `.keys()` call is unnecessary when iterating over dictionary keys. Use `for key in new_params:` instead for better performance and readability.
```suggestion
 missing = [key for key in new_params if key not in current_params]
```",cfdcfb26de5765c573db72adbeda4f1d13a73d6a7a18da1971b5835f075e71af,False,True,.py,direct_inline_reply,author_human,@codex fix this,870b0dbb39b7e8133a3018c6fbc9c0ff104d78ff73d165be13ba22e456ef59cb,False,0.03,,,,,,
FR-00712DAB0CAB,OpenAI_Codex,Claude_Code,inline_review_comment,"The template source is always `config/webpack/webpack.config.js.tt` even when generating for rspack. This template contains the log message `Loading ENV specific webpack configuration file` — rspack users will see ""webpack"" in their logs, which is misleading. Either parameterize the template to emit the correct bundler name, or introduce a separate `rspack.config.js.tt`.",3020f651641dcae0176dd441bc822f66eec5ef66152871d289c6a743ee8b413d,False,True,.rb,subsequent_pr_comment,triggering_reviewer,"## Code Review

Overall this is a clean, focused PR. Inline comments have been posted for specifics. Summary of issues:

**Bug** - webpack.config.js.tt is reused as the source template for config/rspack/rspack.config.js. That template logs 'Loading ENV specific webpack configuration file', so rspack users will see 'webpack' in their output. Either parameterize the log message or introduce a separate rspack.config.js.tt.

**Inconsistency** - shakapacker_config_file_exists? checks config/rspack/rspack.config.ts but not the symmetric config/webpack/webpack.config.ts. See inline comment for a suggested fix.

**Naming** - The local variable webpack_config_path inside copy_webpack_main_config now holds a bundler-agnostic path (config/rspack/rspack.config.js under --rspack). Rename to bundler_config_path. Similarly the method names copy_webpack_main_config and handle_custom_webpack_config are now misleading since they handle both bundlers.

**Tests** - The PR description says UNTESTED in this environment. Please confirm CI is green before merge. Also consider adding a negative assertion that config/webpack/ files are NOT generated when --rspack is active, to protect against double-population of both directories.

**Minor** - destination_config_path uses sub which replaces only the first match; gsub is slightly more defensive (inline comment with suggestion).",9e988ea18d940b2f8d3dcd35e684527b3b4bc5a04870d9c687e08a75e0240bfa,False,0.008888888888888889,,,,,,
FR-00AAB0A19D18,OpenAI_Codex,Devin,inline_review_comment,"<!-- devin-review-comment {""id"": ""BUG_pr-review-job-9e90ce96f6ba490c8a1363a673954148_0001"", ""file_path"": ""livekit-plugins/livekit-plugins-google/livekit/plugins/google/tts.py"", ""start_line"": 518, ""end_line"": 527, ""side"": ""RIGHT""} -->

🔴 **Sentence splitting regex consumes inter-sentence whitespace, causing merged words in TTS output**

The regex `re.split(r""(?<=[.!?。！？])\s*"", text)` at line 518 uses `\s*` which consumes whitespace after sentence-ending punctuation. When multiple sentences are recombined into a single chunk at line 525 (`candidate = current + sentence`), no whitespace is re-inserted between them. For example, `""Hello world. This is a test!""` splits into `['Hello world.', 'This is a test!', '']`, and when recombined produces `""Hello world.This is a test!""` — the space between sentences is lost. This causes the TTS engine to mispronounce text (e.g., reading ""world.This"" as a single run-on token). The bug affects every case where text exceeds the 5000-byte limit and triggers chunking, which is the primary use case this PR is designed to fix.

<details>
<summary>Reproduction example</summary>

```python
import re
text = 'A. B. C.'
sentences = re.split(r'(?<=[.!?。！？])\s*', text)
print(sentences) # ['A.', 'B.', 'C.', '']
rejoined = ''.join(sentences) # 'A.B.C.' — whitespace lost
```

</details>

```suggestion
 sentences = re.split(r""(?<=[.!?。！？])\s+"", text)
 chunks: list[str] = []
 current = """"

 for sentence in sentences:
 if not sentence:
 continue
 candidate = current + "" "" + sentence if current else sentence
 if len(candidate.encode(""utf-8"")) <= max_bytes:
 current = candidate
```

<!-- devin-review-badge-begin -->
<a href=""[URL] target=""_blank"">
 <picture>
 <source media=""(prefers-color-scheme: dark)"" srcset=""[URL]
 <img src=""[URL] alt=""Open in Devin Review"">
 </picture>
</a>
<!-- devin-review-badge-end -->

---
*Was this helpful? React with 👍 or 👎 to provide feedback.*",a1224b2a905b234627dc53a9c46559e9cadad3c5115a5de436011ad0ce2680a7,False,True,.py,direct_inline_reply,triggering_reviewer,"✅ **Resolved**: The code at line 518 has been completely rewritten. The old regex-based splitting (`re.split(r'(?<=[.!?\u3002\uff01\uff1f])\s*', text)`) with its whitespace-consuming bug no longer exists. The new code at line 519 uses `sentence_tokenizer.tokenize(text=text)` (blingfire) for sentence boundary detection, and the rejoining logic at line 526 correctly inserts a space: `candidate = (current + "" "" + sentence) if current else sentence`. The original bug is fully resolved.",b8b972f25c76e4ac568362e38d6649f93e37644fbfea303fb02cc8c6b6c1f08c,False,22.49861111111111,,,,,,
FR-00AD2932A641,OpenAI_Codex,Copilot,inline_review_comment,"`ShellComplete: completeWorktreesForCd` will keep suggesting worktree names even when the user is completing the command portion of `wtp exec <worktree> -- <command> ...` (e.g., after `--` or while typing `go`). Consider adding a dedicated completer for `exec` that only offers worktree names for the first positional arg and returns early once a worktree has already been provided / once `--` is present.
```suggestion
 ShellComplete: execShellComplete,
 Action: execCommand,
 }
}

func execShellComplete(ctx context.Context, cmd *cli.Command) error {
 args := cmd.Args().Slice()

 // If no arguments have been provided yet, or we're still completing
 // the first positional argument, offer worktree name completions.
 if len(args) == 0 {
 return completeWorktreesForCd(ctx, cmd)
 }

 // If any argument is the separator, we're in the command portion:
 // do not suggest worktree names anymore.
 for _, a := range args {
 if a == ""--"" {
 return nil
 }
 }

 // If there's exactly one argument and no `--`, we are still completing
 // the worktree name; delegate to the generic worktree completer.
 if len(args) == 1 {
 return completeWorktreesForCd(ctx, cmd)
 }

 // Once a worktree (first arg) has been provided and we're on the second
 // or later argument (the command and its args), do not offer completions.
 return nil
}
```",bb39009514d130d9c673bbdf2e20a52a272df99650b5b7bcefd72064a3b49cd6,False,True,.go,direct_inline_reply,author_human,Implemented in d259727: `exec` now uses a dedicated completer (`completeWorktreesForExec`) that only suggests worktrees for the first positional argument and stops suggesting after `--` / command arguments.,e5bf3fb22942e8baeca725a2bd2a98f6761aecda1fc0828affd9a3a27c670061,False,5.171111111111111,,,,,,
FR-00D57CDCF5EF,OpenAI_Codex,Copilot,inline_review_comment,"The verb form 'Conditional apply' is grammatically inconsistent. It should be 'Conditionally apply' to match the adverbial form used in line 12 with 'Specify'.
```suggestion
- `apply`: Conditionally apply the plugin during serve or build, see [Conditional application](#conditional-application).
```",e5c98074d5fac8a9c46f41aa50a96be16fe97111e5777ffb10b9b013cb73abea,False,True,.mdx,subsequent_review,author_human,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,4.3677777777777775,,,,,,
FR-0171BF463982,OpenAI_Codex,Claude_Code,pr_comment,"**Claude finished @dlwh's task in 2m 51s** —— [View job]([URL]

---
### PR Review: Add grug activation watch logging

- [x] Read and analyze all changed files
- [x] Review new `activation_logging.py` module
- [x] Review model changes (base, modular_opt, moe)
- [x] Review train changes
- [x] Review histogram and tracker changes
- [x] Review test changes
- [x] Post review feedback

---

Overall this is a clean addition. The activation watch path is cleanly separated from the main forward pass, the summary-only approach (scalar stats instead of full histograms) is the right call for keeping watch steps lightweight, and the contract tests cover the key invariants. A few items worth addressing:

### Issues

**1. Extra forward pass on watch steps doubles compute cost**
`activation_metrics_fn` in each `train.py` variant runs a full forward pass (`compute_params(batch.tokens, ...)`) *in addition* to the `loss_fn` forward pass. On watch steps this means 2x the compute. Since `return_activation_metrics` is already threaded through `next_token_loss`, you could collect activation metrics alongside the loss in `loss_fn` and return them as auxiliary outputs, avoiding the redundant forward pass.

For the base variant (`experiments/grug/base/train.py:277-284`):
```python
def activation_metrics_fn(params):
 compute_params = mp.cast_to_compute(params)
 _, activation_metrics = compute_params(
 batch.tokens,
 mask=batch.attn_mask,
 return_activation_metrics=True,
 )
 return activation_metrics
```
This is called unconditionally when `compute_watch=True` (line 287), doing a second full forward pass. Same pattern in `moe/train.py:302-309`.

[Fix this →]([URL]

**2. `_summary_stats` computes `count_nonzero` which forces a full materialization**
`jnp.count_nonzero` on the full activation tensor (`activation_logging.py:97`) forces a comparison + reduction over the entire tensor. For large hidden dims this may not be cheap. Consider whether `frac_nonzero` is actually useful for dense activations (attn_in, block_out, etc.) — it's really only informative for ReLU outputs (mlp_out). Could be gated per-metric.

**3. Duplicate copyright header in `activation_logging.py`**
Lines 1-2 and 4-5 are identical copyright/license headers.

[Fix this →]([URL]

**4. Aliasing scalar metrics to shorter names is fragile**
In `block_activation_logging` (`activation_logging.py:40-45`), scalars are aliased:
```python
out[""attn_in""] = out[""attn_in_rms""]
out[""attn_out""] = out[""attn_out_rms""]
```
This means",cad7bd7d152fa02e426a3c41c8b41aecde9dfbefedaa13520b9afe1bdac908f3,True,True,,force_push,author_account_untyped,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,32.71083333333333,,,,,,
FR-034444E389AD,OpenAI_Codex,Copilot,inline_review_comment,"The fallback currently triggers on any error fetching the promoted v1 TLSRoute (including auth/transport errors), which can hide the real failure and produce a misleading legacy lookup error. Store the first error and only fall back for “not found / no match” cases; otherwise return the original error.",a549282921efb0aa1d63fb25397050f447138e54afe46e355972ad45cc6b67f5,False,True,.go,direct_inline_reply,author_human,"Fixed in ac4fa91b58. The e2e status helper now only falls back from promoted v1 to legacy v1alpha2 on NotFound/NoMatch errors, and it returns the original error for other failures so we do not hide transport/auth issues behind a misleading legacy lookup.",946d9cee99ae12bb797431368060db197cbc4623302ed983b7471813fbc7f526,False,0.21388888888888888,,,,,,
FR-0348EC9BD036,Copilot,OpenAI_Codex,inline_review_comment,"**<sub><sub>![P1 Badge]([URL] Allow migrations to run before database exists**

This opens a connection using the service connection string and immediately creates `nugettrends.clickhouse_migrations`. On a fresh ClickHouse instance, the first migration (`ClickHouse/migrations/2025-12-26-01-init.sql`) is what creates the `nugettrends` database, so `CREATE TABLE nugettrends.clickhouse_migrations` will fail before any migrations execute. That means new environments cannot bootstrap automatically. Consider connecting without a database (admin connection), or create the database before calling `EnsureMigrationTableExistsAsync` so the initial migration can run.

Useful? React with 👍 / 👎.",48b1c2518062526a2089ed20b8ab7d4414a83e0d0c50a3e3486def1b6c763ab1,False,True,.cs,subsequent_review,author_agent,"## Pull request overview

Adds an automatic ClickHouse migration system (runner + tracking table) and wires it into the Scheduler startup path, so ClickHouse schema changes are applied similarly to EF Core migrations for PostgreSQL.

**Changes:**
- Introduces `ClickHouseMigrationRunner` to execute embedded `*.sql` migrations in order and record them in `clickhouse_migrations`.
- Adds `IClickHouseService.RunMigrationsAsync()` and invokes it on Scheduler startup inside a Sentry transaction.
- Embeds ClickHouse migration SQL files into `NuGetTrends.Data` and adds unit tests validating tracking/idempotency.

### Reviewed changes

Copilot reviewed 13 out of 13 changed files in this pull request and generated 5 comments.

<details>
<summary>Show a summary per file</summary>

| File | Description |
| ---- | ----------- |
| src/NuGetTrends.Web/Program.cs | Updates ClickHouseService DI registration to pass `ILoggerFactory`. |
| src/NuGetTrends.Scheduler/Startup.cs | Passes `ILoggerFactory` to ClickHouseService; runs ClickHouse migrations on startup with Sentry transaction. |
| src/NuGetTrends.IntegrationTests/Infrastructure/NuGetTrendsWebApplicationFactory.cs | Updates ClickHouseService construction for new ctor signature. |
| src/NuGetTrends.IntegrationTests/Infrastructure/IntegrationTestFixture.cs | Updates ClickHouseService construction for new ctor signature. |
| src/NuGetTrends.Data/NuGetTrends.Data.csproj | Embeds `ClickHouse/migrations/*.sql` as resources. |
| src/NuGetTrends.Data/ClickHouse/migrations/README.md | Documents the new migration system and workflow. |
| src/NuGetTrends.Data/ClickHouse/IClickHouseService.cs | Adds `RunMigrationsAsync` to the ClickHouse service interface. |
| src/NuGetTrends.Data/ClickHouse/ClickHouseService.cs | Implements `RunMigrationsAsync` and adds optional `ILoggerFactory` dependency. |
| src/NuGetTrends.Data/ClickHouse/ClickHouseMigrationRunner.cs | New runner that discovers embedded migrations, applies them, and tracks applied files. |
| src/NuGetTrends.Data.Tests/PackageCaseSensitivityTests.cs | Updates ClickHouseService construction for new ctor signature. |
| src/NuGetTrends.Data.Tests/Infrastructure/ClickHouseFixture.cs | Exposes admin connection string; adds helpers to assert migration effects in tests. |
| src/NuGetTrends.Data.Tests/ClickHouseServiceTests.cs | Updates ClickHouseService construction for new ctor signature. |
| src/NuGetTrends.Data.Tests/ClickHouseMigrationRunnerTests.cs | Adds tests for migration tabl",bbcd48c2450a43bd7faa6a6043df1f9394f6d66609a7c58e9048f58b0994f8e0,True,0.04055555555555555,,,,,,
FR-037819D85452,Google_Jules,Copilot,inline_review_comment,"使用 `interface{}` 作为 map 键可能导致运行时 panic。某些类型（如切片、映射、函数）不能作为 map 键，因为它们不可比较。建议将键的类型更改为可比较的类型（如 string 或实现了 comparable 约束的类型），或者添加文档说明键必须是可比较类型。
```suggestion
type Cache[K comparable, V any] interface {
 Get(key K) (V, error)
 Set(key K, value V) error
}

type SimpleCache[K comparable, V any] struct {
 mu sync.RWMutex
 store map[K]V
}

func New[K comparable, V any]() Cache[K, V] {
 return &SimpleCache[K, V]{
 store: make(map[K]V),
 }
}

func (c *SimpleCache[K, V]) Get(key K) (V, error) {
 c.mu.RLock()
 defer c.mu.RUnlock()
 val, ok := c.store[key]
 if !ok {
 var zero V
 return zero, ErrKeyNotFound
 }
 return val, nil
}

func (c *SimpleCache[K, V]) Set(key K, value V) error {
```",43727f5c15f9a067feb5f11f7a42e4452793dbb615bda1b25d4153ab2c5af5d5,False,True,.go,no_observed_action,no_observed_action,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,,,,,,,
FR-037D977575B8,OpenAI_Codex,Devin,inline_review_comment,"<!-- devin-review-comment {""id"": ""BUG_pr-review-job-726384099b1f46e1828987d8ccc9e184_0001"", ""file_path"": ""packages/ui/src/ai/tool.tsx"", ""start_line"": 400, ""end_line"": 414, ""side"": ""RIGHT""} -->

🟡 **OutputCopyButton timer not cleaned up on unmount or rapid re-clicks**

The `OutputCopyButton` in `packages/ui/src/ai/tool.tsx:410` creates a `window.setTimeout` to reset `copied` state after 1500ms, but never stores the timer ID and never clears it on component unmount. If the Tool card is collapsed (unmounting `ToolContent` and its children including `OutputCopyButton`) shortly after clicking Copy, the timer fires `setCopied(false)` on an unmounted component. Additionally, rapid consecutive clicks accumulate multiple timers. The Mobile implementation at `apps/moryflow/mobile/components/ai-elements/tool/ToolContent.tsx:42,74-80,83-89` correctly handles both cases using a `copiedTimerRef` with cleanup on unmount and clearing the previous timer before creating a new one.

```suggestion
const OutputCopyButton = ({ text }: { text: string }) => {
 const [copied, setCopied] = useState(false);
 const timerRef = React.useRef<ReturnType<typeof setTimeout> | null>(null);

 React.useEffect(() => {
 return () => {
 if (timerRef.current) {
 clearTimeout(timerRef.current);
 }
 };
 }, []);

 const handleCopy = async () => {
 if (typeof window === 'undefined' || !navigator?.clipboard?.writeText) {
 return;
 }
 try {
 await navigator.clipboard.writeText(text);
 setCopied(true);
 if (timerRef.current) {
 clearTimeout(timerRef.current);
 }
 timerRef.current = window.setTimeout(() => {
 setCopied(false);
 timerRef.current = null;
 }, 1500);
 } catch {
 // ignore clipboard failure
 }
 };
```

<!-- devin-review-badge-begin -->
<a href=""[URL] target=""_blank"">
 <picture>
 <source media=""(prefers-color-scheme: dark)"" srcset=""[URL]
 <img src=""[URL] alt=""Open in Devin Review"">
 </picture>
</a>
<!-- devin-review-badge-end -->

---
*Was this helpful? React with 👍 or 👎 to provide feedback.*",44c47a20f5e75c300d14cf3b35aacfd3a7cfaf2e502172c45d7841af54aff49b,False,True,.tsx,direct_inline_reply,author_human,"Fixed. `OutputCopyButton` now keeps a `copiedTimerRef`, clears the previous timer before scheduling a new one on rapid re-clicks, and clears any pending timer in `useEffect` cleanup on unmount. Added regression coverage in `packages/ui/test/tool-shell-redesign.test.tsx` for re-click + unmount timer cleanup.",f05a9cf4102ff7d25eed8d6fc406a9e2e2347a28781619dc619acb104be62ed3,False,3.3216666666666668,,,,,,
